source	korean	speaker	context	note
……で、そろそろいい加減にして欲しいって時に、たまたま総隊副長が来てよ。	……그래서 이제 슬슬 그만 좀 했으면 싶던 참에, 마침 총대 부단장이 온 거야.	タガン	scenario	adult talk continuation
まぁ、世の中にはお前みたいな、他人とは一風変わったこだわりを持ってる奴もいるんだな	뭐, 세상에는 너처럼 남들과는 좀 다른 집착을 가진 녀석도 있는 법이구나.	タガン	scenario	affinity reflection
普通の奴なら言わねぇような突飛なことを平気で頼んできたり、かと思えば満足してサッと引いたり……。	보통 녀석이면 입 밖에도 안 낼 엉뚱한 부탁을 태연히 해 오다가도, 만족하면 또 휙 물러나고……	タガン	scenario	affinity reflection
やめないで	그만두지 마	PLAYER	choice	adult choice
やめよう	그만하자	PLAYER	choice	adult choice
！？！？　なっ！？おいおい！くすぐってぇぞ！？そんなに顔動かしたら俺のケツ毛が絡まっちまうぞ(笑)	!?!? 뭐!? 어이 어이! 간지럽잖아!? 그렇게 얼굴을 움직이면 내 엉덩이털이 엉켜 버린다고. 하하.	タガン	scenario	adult event comedic line
……くそ、……っ、お前のチンポが、……っ, どこに触れてんのか……、……全部、分かりやがる……ッ。	……젠장, ……윽, 네 자지가, ……어디에 닿는지…… ……전부, 느껴지잖아……!	タガン	scenario	adult event
……ッ、はぁ……ッ！\n ……あぁ、くそ……ッ！ ……頭の中が、……真っ白に, なりやがる……！	……읏, 하아……!\n ……아아, 젠장……! ……머릿속이, ……새하얘져 버리잖아……!	タガン	scenario	adult event
あっ！ああああっっ！があぁあああぁぁぁっっ！！	앗! 아아아아앗! 가아아아아아아앗!!	タガン	scenario	adult event exclamation
よぉ、気を付けて行ってこいよ！	여어, 조심해서 다녀와라!	アルバルト	dialogue	stage departure
この場所について	이 장소에 대해	PLAYER	choice	location talk
……ふぅ。こうして天井を見上げると、妙に落ち着かねぇな。[wait:0.5]……おい、突っ立ってないでこっち来いよ。……お前の気が済むまで、好きにしろ。	……후우. 이렇게 천장을 올려다보고 있으니 묘하게 진정이 안 되네.[wait:0.5] ……야, 멀뚱히 서 있지 말고 이리 와. ……네 마음이 풀릴 때까지, 하고 싶은 대로 해.	アルバルト	max event	adult event; token preserved
（アルバルトに近づき、肌に触れる）	(알베르트에게 다가가 피부에 닿는다)	PLAYER	choice	adult event narration choice
（主人公がアルバルトの身体に触れ、愛撫が始まる）	(주인공이 알베르트의 몸에 손을 대고, 애무가 시작된다)		adult narration	adult event
っ……！[wait:0.5]あ……おい、そこは……っ。	읏……![wait:0.5] 아…… 야, 거기는……	アルバルト	max event	adult event; token preserved
……はは、お前の指、意外と大胆なんだな。……砂漠での一件もそうだが……お前に触られると、なんだか調子が狂うぜ。	……하하, 네 손가락, 의외로 대담하네. ……사막에서 있었던 일도 그렇고…… 네가 만지면 어쩐지 페이스가 흐트러진다.	アルバルト	max event	adult event
（アルバルトの大胸筋に触れながら耳元で囁く）	(알베르트의 대흉근을 만지며 귓가에 속삭인다)	PLAYER	choice	adult event narration choice
……ッ、！？[wait:0.5]……あ、ぐ……ッ！！	……읏, !?[wait:0.5] ……아, 윽……!!	アルバルト	max event	adult event; token preserved
……ふぅ、……ふぅ……。……大丈夫だ、止まるな。	……후우, ……후우……. ……괜찮아, 멈추지 마.	アルバルト	max event	adult event
[wait:0.5]……お前、そんなに申し訳なさそうな顔すんなって。……ちょっと、驚いただけだ。	[wait:0.5]……너, 그렇게 미안한 얼굴 하지 말라니까. ……조금 놀랐을 뿐이야.	アルバルト	max event	adult event; token preserved
……ほら、もっと……奥まで来いよ。	……자, 더…… 깊이 와.	アルバルト	max event	adult event
[wait:0.5]……俺の中、お前の熱いので、いっぱいにしてくれ……。	[wait:0.5]……내 안을 네 뜨거운 걸로 가득 채워 줘……	アルバルト	max event	adult event; token preserved
（彼の腰を引き寄せ、優しく突き上げる）	(그의 허리를 끌어당겨 부드럽게 밀어 올린다)	PLAYER	choice	adult event narration choice
最高の恩返しだったよ	최고의 보답이었어	PLAYER	choice	adult event choice
年齢	나이	PLAYER	choice	profile question
家族	가족	PLAYER	choice	profile question
チンポの大きさ	자지 크기	PLAYER	choice	adult profile question
[se:se_tentacle2]あっ！？え！？\n宝珠じゃない！？なんだこれ！？	[se:se_tentacle2]앗!? 어!?\n보주가 아니잖아!? 이게 뭐야!?	アルバルト	event	blue orb event; token preserved
[se:se_wind]えっ！？	[se:se_wind]뭐!?	アルバルト	event	blue orb event; token preserved
[se:se_wind]ふっ！？服が溶ける！？	[se:se_wind]으!? 옷이 녹는다고!?	アルバルト	event	blue orb event; token preserved
おっ、おい！すまん！\n[wait]助けてくれ~！！	어, 어이! 미안하다!\n[wait]도와줘~!!	アルバルト	event	blue orb event; token preserved
灼熱の砂漠へ	작열하는 사막으로	PLAYER	stage choice	stage destination
古代の遺跡へ	고대 유적으로	PLAYER	stage choice	stage destination
