source	korean	speaker	context	note
アルバルト	알베르트	アルバルト	name	이름 표기
親友	친구	アルバルト	affinity title	관계 호칭
アルバルト (狩人	알베르트 (사냥꾼	アルバルト	ui profile	역할 표기
アルバルトの勲章	알베르트의 훈장	アルバルト	item	훈장명
熟練狩人の証。移動速度、攻撃力、射程が+10%される。	숙련 사냥꾼의 증표. 이동 속도, 공격력, 사거리가 +10% 오른다.	アルバルト	item description	알베르트 훈장 효과
アルバルトへの恩返し	알베르트에게 보답	アルバルト	gallery event	이벤트명
遺跡の罠にはまったアルバルト	유적의 함정에 빠진 알베르트	アルバルト	gallery event	이벤트명
砂漠に水が戻った日	사막에 물이 돌아온 날	アルバルト	gallery event	알베르트 사막 이벤트
砂漠の水源	사막의 수원	アルバルト	gallery event	알베르트 사막 이벤트
古代遺跡の落とし穴	고대 유적의 함정 구덩이	アルバルト	gallery event	알베르트 유적 이벤트
身体を張った恩返し	몸으로 갚는 보답	アルバルト	gallery event	성인 이벤트명
予想以上に無茶苦茶な夜	예상보다 더 엉망진창인 밤	アルバルト	gallery event	성인 이벤트명
狩場について	사냥터에 대해	アルバルト	choice	대화 선택지
アルバルトについて	알베르트에 대해	アルバルト	choice	대화 선택지
アルバルトとエッチしたい	알베르트와 하고 싶어	アルバルト	choice	성인 선택지
少し二人きりになりたい	잠깐 둘이 있고 싶어	アルバルト	choice	대화 선택지
個人的な頼みがあるんだ	개인적으로 부탁할 게 있어	アルバルト	choice	대화 선택지
借りを返して欲しくて……	빚을 갚아 줬으면 해서……	アルバルト	choice	대화 선택지
受け手になってほしい	받는 쪽이 되어 줬으면 해	アルバルト	choice	성인 선택지
何でもない	아무것도 아니야	アルバルト	choice	공통 선택지
何もない	아무것도 없어	アルバルト	choice	공통 선택지
話をやめる	이야기를 그만둔다	アルバルト	choice	공통 선택지
用はない	볼일 없어	アルバルト	choice	공통 선택지
いいよ	좋아	アルバルト	choice	공통 선택지
しょうがないな	어쩔 수 없지	アルバルト	choice	유적 이벤트 선택지
アルバルト？どうしたの？	알베르트? 왜 그래?	アルバルト	choice	유적 이벤트 선택지
なんで埋まってるの？	왜 파묻혀 있어?	アルバルト	choice	유적 이벤트 선택지
（これは…触手…？いや、植物のツタ？）	(이건… 촉수…? 아니, 식물 덩굴인가?)	アルバルト	choice	유적 이벤트 선택지
（見たことろ外傷は無いけど…ズボンが溶かされて粘液まみれだ…）	(보기엔 외상은 없는데… 바지가 녹아서 점액투성이야…)	アルバルト	choice	유적 이벤트 선택지; 원문 오탈자 유지
植物が絡みついてたみたいだ	식물이 휘감고 있었던 것 같아	アルバルト	choice	유적 이벤트 선택지
大丈夫、問題ないよ	괜찮아, 문제없어	アルバルト	choice	유적 이벤트 선택지
いや、そんなことより…	아니, 그것보다…	アルバルト	choice	유적 이벤트 선택지
何も感じないの？	아무 느낌도 없어?	アルバルト	choice	유적 이벤트 선택지
………。	………。	アルバルト	choice	유적 이벤트 선택지
（これも貴重なチャンスか…？）	(이것도 귀한 기회인가…?)	アルバルト	choice	유적 이벤트 선택지
もごもごももご…	우물우물우물…	アルバルト	choice	유적 이벤트 선택지
……。（うん、この圧倒的質量と熱量…身体的異常はないみたいだな…）	……(그래, 이 압도적인 질량과 열기… 몸에 이상은 없는 것 같네…)	アルバルト	choice	유적 이벤트 선택지
